2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,1,0
2020-01-20,1,0
2020-01-21,0,0
2020-01-22,1,0
2020-01-23,1,1.0
2020-01-24,0,0.0
2020-01-25,3,1.5
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,2,0.4
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,2,0.25
2020-02-02,0,0.0
2020-02-03,1,0.125
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,1,0.09090909090909091
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,1,0.08333333333333333
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,1,0.1
2020-02-14,1,0.09090909090909091
2020-02-15,1,0.09090909090909091
2020-02-16,0,0.0
2020-02-17,2,0.18181818181818182
2020-02-18,3,0.2727272727272727
2020-02-19,4,0.36363636363636365
2020-02-20,6,0.5454545454545454
2020-02-21,16,1.4545454545454546
2020-02-22,19,1.7272727272727273
2020-02-23,13,1.1818181818181819
2020-02-24,35,3.1818181818181817
2020-02-25,42,3.8181818181818183
2020-02-26,51,5.1
2020-02-27,65,6.5
2020-02-28,92,8.363636363636363
2020-02-29,137,13.7
2020-03-01,170,10.0
2020-03-02,242,10.083333333333334
2020-03-03,312,7.428571428571429
2020-03-04,454,7.566666666666666
2020-03-05,636,7.146067415730337
2020-03-06,696,4.218181818181818
2020-03-07,997,4.6157407407407405
2020-03-08,1298,3.424802110817942
2020-03-09,1703,3.468431771894094
2020-03-10,2266,4.010619469026548
2020-03-11,2858,3.831099195710456
2020-03-12,3651,3.3010849909584086
2020-03-13,4566,2.982364467668191
2020-03-14,5634,2.61317254174397
2020-03-15,6874,2.3638239339752407
2020-03-16,8368,2.673482428115016
2020-03-17,9978,2.185761226725082
2020-03-18,11262,1.7701980509273814
2020-03-19,12828,1.445897204688909
2020-03-20,14845,1.1180147612592257
2020-03-21,16565,0.8487907358065178
2020-03-22,17900,0.705196391285506
2020-03-23,20156,0.5910677106243218
2020-03-24,21699,0.48065123490973527
2020-03-25,23320,0.421349329671521
2020-03-26,24888,0.3710086163203244
2020-03-27,26294,0.3123173773607317
2020-03-28,27324,0.26746018539364336
2020-03-29,28592,0.2364343008351939
2020-03-30,29831,0.21675725164215545
2020-03-31,30585,0.19601999615458565
2020-04-01,31178,0.17333148019457956
2020-04-02,30767,0.15152350887215527
2020-04-03,30699,0.13265777931421904
2020-04-04,30643,0.1172830055803486
2020-04-05,30430,0.10573388279279217
2020-04-06,30537,0.09799466656397716
2020-04-07,30352,0.08982459463218734
2020-04-08,29733,0.08155993350779309
2020-04-09,29309,0.07461349096639351
2020-04-10,28811,0.06805721237317963
2020-04-11,28698,0.06360048135844139
2020-04-12,29149,0.06124833216015465
2020-04-13,29382,0.05884567780078749
2020-04-14,29318,0.05718755364137135
2020-04-15,29239,0.054703461178671656
2020-04-16,29012,0.052017441943858746
2020-04-17,28990,0.04960906550484369
2020-04-18,28872,0.047245176809412384
2020-04-19,29130,0.04618179742789742
2020-04-20,28806,0.0443835667093975
2020-04-21,28793,0.042766856540241066
2020-04-22,28449,0.04099864389876942
2020-04-23,28063,0.03905091104413144
2020-04-24,27438,0.03675459030513624
2020-04-25,26725,0.035200044255247406
2020-04-26,26993,0.03426351157518475
2020-04-27,26786,0.03320482465383233
2020-04-28,26620,0.03230664859177236
2020-04-29,26168,0.031081928580930843
2020-04-30,25758,0.029867395166115498
2020-05-01,25164,0.02938823559638942
2020-05-02,24481,0.02786523248534517
2020-05-03,23969,0.026833323071239455
2020-05-04,23883,0.0261925259781208
2020-05-05,23379,0.025223983013542558
2020-05-06,23398,0.024721332952972623
2020-05-07,22838,0.023566414299585902
2020-05-08,22499,0.02273133699543029
2020-05-09,22307,0.022068090848474414
2020-05-10,0.02180913741182122,0.02180913741182122
2020-05-11,0.02153574976642121,0.02153574976642121
2020-05-12,0.021315827020831714,0.021315827020831714
2020-05-13,0.020989699417032305,0.020989699417032305
2020-05-14,0.020677513283902653,0.020677513283902653
2020-05-15,0.020412574501130303,0.020412574501130303
2020-05-16,0.02010624250526595,0.02010624250526595
2020-05-17,0.019777162412810387,0.019777162412810387
2020-05-18,0.019576743415626794,0.019576743415626794
2020-05-19,0.01933492932238649,0.01933492932238649
2020-05-20,0.019059376267576675,0.019059376267576675
2020-05-21,0.01875459960055797,0.01875459960055797
2020-05-22,0.01842801820226486,0.01842801820226486
2020-05-23,0.018109390446882204,0.018109390446882204
2020-05-24,0.017845771622367487,0.017845771622367487
2020-05-25,0.017656605222256077,0.017656605222256077
2020-05-26,0.017551381388657045,0.017551381388657045
2020-05-27,0.017521916756966027,0.017521916756966027
2020-05-28,0.017540836786313633,0.017540836786313633
2020-05-29,0.01756842221922988,0.01756842221922988
2020-05-30,0.01757522725367079,0.01757522725367079
2020-05-31,0.01755989615504935,0.01755989615504935
2020-06-01,0.01752877828034806,0.01752877828034806
2020-06-02,0.01749184204471085,0.01749184204471085
2020-06-03,0.01746373314760684,0.01746373314760684
2020-06-04,0.017462737059278328,0.017462737059278328
2020-06-05,0.01750829350733128,0.01750829350733128
2020-06-06,0.017615398422669785,0.017615398422669785
2020-06-07,0.01778984380472391,0.01778984380472391
2020-06-08,0.0180283645926966,0.0180283645926966
2020-06-09,0.018319685593939226,0.018319685593939226
